ITM_ID,ITM_CODE,ITM_NAME,ITM_UNIT,ITM_GROUP,ITM_DELETED_MARK,UNT_ID,UNT_NAME,ITMG_ID,ITMG_NAME
1,1,COCA COLA 1.5l,1,2,0,1,шт,2,Хом ашйо
2,2,Pepsi 1.5l222222,2,2,0,2,кг,2,Хом ашйо
3,3,Snickers 45 gr,2,2,0,2,кг,2,Хом ашйо
4,4,Табуретка 2,1,2,0,1,шт,2,Хом ашйо
5,5,ДСП,2,4,0,2,кг,4,Матрас
6,6,Сакура,1,2,0,1,шт,2,Хом ашйо
7,7,Сакура шкаф,1,5,0,1,шт,5,Комплектлар
8,8,Сакура диван,1,5,0,1,шт,5,Комплектлар
9,9,Сакура тумба,1,5,0,1,шт,5,Комплектлар
10,10,Сакура тремо,1,5,0,1,шт,5,Комплектлар
11,11,Сакура комплект,1,5,0,1,шт,5,Комплектлар
12,12,Гратсия шкаф,1,5,0,1,шт,5,Комплектлар
13,13,Гратсия термо,1,5,0,1,шт,5,Комплектлар
14,14,Поршен дамас,1,2,0,1,шт,2,Хом ашйо
15,15,Амортизатор,1,2,0,1,шт,2,Хом ашйо
16,16,рассход,1,1,0,1,шт,1,ПРОДУКТОВАЯ
17,10087,Арматура,1,2,0,1,шт,2,Хом ашйо
18,10088,Арматура м,1,2,0,1,шт,2,Хом ашйо
19,17,COLA 1.5,1,6,0,1,шт,6,НАПИТКИ
20,18,КНИГА СТИВ ДЖОБС,2,2,0,2,кг,2,Хом ашйо
21,19,Кокок,1,4,0,1,шт,4,Матрас
22,20,Tggg,1,3,0,1,шт,3,Таййор мебель
23,21,123,1,3,0,1,шт,3,Таййор мебель
24,22,Вода MONTELLA Sweet 0.5 L,1,6,0,1,шт,6,НАПИТКИ
25,23,вода nestle 0.5 l,1,8,0,1,шт,8,напитки 3
26,24,жвачка trident 27gr,1,9,0,1,шт,9,Жвачки
27,25,сигарет sobranie london сигарет sobranie london,1,10,0,1,шт,10,cигареты
28,26,сигарет Parlament super slim,1,10,0,1,шт,10,cигареты
29,27,освежитель Yumos 500ml,1,11,0,1,шт,11,освежителы
30,28,печенье юбилейное,2,12,0,2,кг,12,печенье
31,29,вода bon aqua 1.5 L,1,6,0,1,шт,6,НАПИТКИ
32,30,Ручной сканер Ручной сканер Ручной сканер Ручной сканер,1,13,0,1,шт,13,Сканеры
33,31,Чипсы Lays 50гр,1,14,0,1,шт,14,Чипсы
34,32,Картошка,2,15,0,2,кг,15,Овощи
35,33,Чипсы  Lays 350гр,1,14,0,1,шт,14,Чипсы
36,34,Parlament,1,16,0,1,шт,16,Сигареты
37,35,MISHA,1,3,0,1,шт,3,Таййор мебель
38,36,КРОЙКА,1,1,0,1,шт,1,ПРОДУКТОВАЯ
39,37,Работа ВАхоб ака,1,1,0,1,шт,1,ПРОДУКТОВАЯ
40,38,Family негазированная 1 Л,1,1,0,1,шт,1,ПРОДУКТОВАЯ
41,39,Golden Rose Brow Fix Gel,1,21,0,1,шт,21,макон
42,40,Dove Men Extra Fresh 76g,1,21,0,1,шт,21,макон
43,41,Dove Men Extra Fresh 76g,1,21,0,1,шт,21,макон
44,42,Dove Men Stain Defense Cool 76g,1,21,0,1,шт,21,макон
45,43,Dove Men Stain Defense Cool 76g,1,21,0,1,шт,21,макон
46,44,Dove Men Sportcare Fresh 76g,1,21,0,1,шт,21,макон
47,45,Dove Men Sportcare Fresh 76g,1,21,0,1,шт,21,макон
48,46,Dove Men Stain Defense Clean 76g,1,21,0,1,шт,21,макон
49,47,Dove Men Stain Defense Clean 76g,1,21,0,1,шт,21,макон
50,48,L A girl nudist ten,1,21,0,1,шт,21,макон
51,49,L A girl nudist ten,1,21,0,1,шт,21,макон
52,50,L A girl nudist ten,1,21,0,1,шт,21,макон
53,51,L A Girl Ten 9color,1,21,0,1,шт,21,макон
54,52,L A Girl Ten 9color,1,21,0,1,шт,21,макон
