PRC_ITEM,PRC_PRICE_TYPE,PRC_VALUE
2171,1,19000
2165,1,15000
2,1,0
2172,1,25000
2173,1,22000
1631,1,150000
1573,1,0
1430,1,1000
3,1,0
1431,1,1200
11,1,6000000
4,1,6000
1217,1,160000
1216,1,200000
1218,1,60
1220,1,0
1238,1,12000
1251,1,100
1271,1,300000
1281,1,15000
1287,1,70
1278,1,5000000
16,1,0
1219,1,0
1235,1,0
1311,1,20700
1305,1,55000
12,1,0
15,1,15000
1353,1,2000
1347,1,20000
1366,1,7000
1376,1,5000
1434,1,0
1477,1,70000
1367,1,150000
1428,1,70000
1500,1,20000
1501,1,18000
1502,1,18000
1503,1,18000
1504,1,5000
1505,1,10000
1506,1,22000
36,1,0
38,1,0
49,1,0
43,1,0
1252,1,0
1230,1,0
1293,1,0
1266,1,0
1354,1,0
1226,1,0
1368,1,0
1372,1,0
1374,1,0
1375,1,0
1429,1,0
1482,1,0
1207,1,0
1224,1,0
1379,1,0
1381,1,0
1538,1,1000
1540,1,13200000
1546,1,20000
1547,1,10000
1548,1,10000
1553,1,15000
1554,1,15000
1555,1,15000
1556,1,20000
1542,1,9500
1544,1,3500
1545,1,3700
1550,1,625000
1551,1,400
1549,1,1300
1541,1,45000
1557,1,55000
1558,1,40000
1539,1,0
1227,1,0
39,1,16
1533,1,8000
1534,1,400
1535,1,14500
1512,1,200
1513,1,0
1517,1,0
1521,1,0
1483,1,200
1484,1,200
1485,1,300
1486,1,400
1487,1,500
1488,1,600
1489,1,0
1490,1,100
1491,1,100000
1492,1,110000
1493,1,115000
1494,1,120000
1495,1,150000
1496,1,170000
1497,1,1400
1498,1,70000
1499,1,90000
1511,1,3000
1510,1,200
1509,1,110000
1508,1,100
1507,1,200
1560,1,183000
1373,1,16
14,1,25000
1475,1,2000
1474,1,65000
1455,1,32000
1457,1,1000
1458,1,1000
1459,1,10000
1460,1,7000
1461,1,7000
1462,1,7000
1463,1,7000
1464,1,10000
1465,1,10000
1466,1,10000
1467,1,10000
1468,1,14000
1469,1,15000
1470,1,75000
1471,1,75000
1472,1,75000
1450,1,40000
1451,1,50000
1454,1,10000
1453,1,12000
1447,1,16000
1448,1,16000
1444,1,13000
1445,1,18000
1442,1,7000
1443,1,6000
1425,1,30000
1426,1,13000
1417,1,156000
1419,1,250000
1418,1,0
1365,1,3500000
1352,1,10.5
1432,1,20000
1370,1,70000
1197,1,9800
1301,1,38930
1298,1,13
1299,1,0
1300,1,11450
1302,1,433
1303,1,2200
1304,1,29.77
1321,1,4950000
1322,1,1800000
1323,1,150000
1324,1,315000
1325,1,120000
1295,1,230000
1296,1,200000
1297,1,70000
1284,1,18500
1285,1,18000
1286,1,16000
1036,1,37000
1037,1,40000
1038,1,40000
1039,1,40000
1040,1,45000
1041,1,41000
1042,1,41000
1043,1,41000
1044,1,41000
1045,1,41000
1046,1,40000
1047,1,40000
1048,1,42000
1049,1,42000
1050,1,42000
1051,1,42000
1052,1,50000
1053,1,50000
1054,1,50000
1055,1,46000
1056,1,46000
1057,1,46000
1058,1,46000
1059,1,46000
1060,1,46000
1061,1,46000
1062,1,50000
1063,1,50000
1064,1,55000
1065,1,50000
1066,1,85000
1067,1,50000
1068,1,60000
1069,1,52000
1070,1,52000
1071,1,52000
1072,1,52000
1073,1,55000
1074,1,55000
1075,1,50000
1076,1,52000
1077,1,52000
1078,1,52000
1079,1,52000
1080,1,60000
1081,1,60000
1082,1,60000
1083,1,60000
1084,1,60000
1085,1,60000
1086,1,60000
1087,1,60000
1088,1,65000
1089,1,65000
1090,1,65000
1091,1,66000
1092,1,59000
1093,1,65000
1094,1,60000
1095,1,60000
1096,1,63000
1097,1,70000
1098,1,75000
1099,1,70000
1100,1,70000
1101,1,75000
1102,1,80000
1103,1,50000
1104,1,70000
1105,1,80000
1106,1,76000
1107,1,80000
1108,1,78000
1109,1,85000
1110,1,100000
1111,1,85000
1112,1,95000
1113,1,90000
1114,1,90000
1115,1,100000
1116,1,100000
1117,1,82000
1118,1,82000
1119,1,82000
1120,1,100000
1121,1,100000
1122,1,100000
1123,1,100000
1124,1,100000
1125,1,100000
1126,1,100000
1127,1,130000
1128,1,102000
1129,1,102000
1130,1,115000
1131,1,135000
1132,1,140000
1133,1,100000
1134,1,140000
1135,1,145000
1136,1,140000
1137,1,145000
1138,1,140000
1139,1,145000
1140,1,132000
1141,1,155000
1142,1,155000
1143,1,155000
1144,1,155000
1145,1,150000
1146,1,150000
1147,1,175000
1148,1,185000
1149,1,121833.33
1150,1,170000
1151,1,190000
1152,1,190000
1153,1,195000
1154,1,200000
1155,1,220000
1156,1,225000
1157,1,177100
1158,1,194000
1159,1,204000
1160,1,204000
1161,1,204000
1162,1,212000
1163,1,212000
1164,1,212000
1165,1,212000
1166,1,230000
1167,1,250000
1168,1,230000
1169,1,235000
1170,1,301000
1171,1,315000
1172,1,300000
1173,1,320000
1174,1,320000
1175,1,555000
1176,1,430000
1177,1,430000
1178,1,380000
1179,1,505000
1180,1,590000
1181,1,605000
1182,1,710000
1183,1,680000
1184,1,795000
1187,1,850000
1188,1,835000
1189,1,855000
1192,1,999000
1193,1,1300000
1194,1,1730000
786,1,52000
787,1,52000
788,1,52000
789,1,52000
790,1,52000
791,1,52000
792,1,52000
793,1,52000
794,1,52000
795,1,52000
796,1,52000
797,1,52000
798,1,52000
799,1,52000
800,1,52000
803,1,1
804,1,1
805,1,1
806,1,1
807,1,1
808,1,1
809,1,1
810,1,1
812,1,1
813,1,1
814,1,1
815,1,1
816,1,3000
817,1,3500
818,1,3500
819,1,5000
820,1,9000
822,1,10000
823,1,10000
824,1,11000
825,1,12000
826,1,12000
827,1,13000
828,1,13000
829,1,15000
830,1,25000
831,1,26250
832,1,27000
833,1,30000
834,1,210000
835,1,400000
